epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.782,1.64542,4.51215,1.68442,0.11928,0.32909,0.15573,0.10214,1.32651,6.01171,1.46324,8.265e-05,8.265e-05,8.265e-05
2,19.4215,1.16401,2.486,1.30914,0.40635,0.51876,0.42752,0.31763,0.96808,2.41015,1.16401,0.000162932,0.000162932,0.000162932
3,25.8158,0.97342,1.74455,1.15975,0.40591,0.66118,0.50107,0.37597,0.9321,1.62887,1.11488,0.000236323,0.000236323,0.000236323
4,32.1374,0.93179,1.50346,1.13016,0.48214,0.70651,0.57118,0.44738,0.86484,1.43199,1.08447,0.000302824,0.000302824,0.000302824
5,38.2596,0.85151,1.2893,1.07747,0.51518,0.74434,0.63829,0.49267,0.83092,1.20618,1.05083,0.000362435,0.000362435,0.000362435
6,44.428,0.83655,1.18756,1.06906,0.6088,0.74426,0.69707,0.55885,0.77806,1.08288,1.00873,0.00034887,0.00034887,0.00034887
7,50.5547,0.8032,1.11979,1.04156,0.5558,0.82086,0.68693,0.55809,0.74875,1.11424,0.99466,0.000331644,0.000331644,0.000331644
8,56.5433,0.79778,1.07669,1.03756,0.63903,0.82396,0.73787,0.60721,0.73007,0.97208,0.986,0.000314418,0.000314418,0.000314418
9,62.673,0.77795,1.0293,1.0357,0.66045,0.79706,0.76178,0.628,0.71453,0.91606,0.97554,0.000297192,0.000297192,0.000297192
10,68.8045,0.76794,0.98151,1.02652,0.66667,0.83207,0.78803,0.66428,0.68243,0.8616,0.95798,0.000279966,0.000279966,0.000279966
11,74.9416,0.72928,0.95652,1.00766,0.63546,0.88118,0.77296,0.64903,0.70297,0.86654,0.96051,0.00026274,0.00026274,0.00026274
12,80.9198,0.73323,0.92074,1.00985,0.62745,0.87534,0.75648,0.64059,0.66727,0.86667,0.94809,0.000245514,0.000245514,0.000245514
13,86.9163,0.71914,0.90018,0.9971,0.69632,0.86965,0.7612,0.64007,0.6604,0.80612,0.9384,0.000228288,0.000228288,0.000228288
14,92.8647,0.69168,0.82884,0.98873,0.70098,0.8548,0.79605,0.6823,0.63333,0.76151,0.92894,0.000211062,0.000211062,0.000211062
15,98.932,0.67683,0.80466,0.97884,0.74845,0.86057,0.82428,0.70874,0.62809,0.73644,0.93035,0.000193836,0.000193836,0.000193836
16,105.917,0.65141,0.82059,0.96981,0.70986,0.87757,0.81228,0.68811,0.65925,0.79499,0.94059,0.00017661,0.00017661,0.00017661
17,111.907,0.62081,0.76443,0.94997,0.71567,0.8635,0.81397,0.69642,0.60735,0.72053,0.915,0.000159384,0.000159384,0.000159384
18,117.803,0.58228,0.71026,0.92625,0.727,0.87975,0.83713,0.72215,0.59331,0.68745,0.90847,0.000142158,0.000142158,0.000142158
19,123.876,0.58098,0.69462,0.92017,0.80778,0.87921,0.88487,0.77078,0.57682,0.61248,0.90106,0.000124932,0.000124932,0.000124932
20,129.861,0.57319,0.65857,0.91951,0.8059,0.90143,0.89666,0.77998,0.57812,0.59945,0.90088,0.000107706,0.000107706,0.000107706
21,135.853,0.56331,0.63605,0.90827,0.79785,0.88803,0.89338,0.77985,0.564,0.60987,0.89289,9.048e-05,9.048e-05,9.048e-05
22,141.787,0.54721,0.60429,0.90734,0.81271,0.89673,0.89343,0.7897,0.55018,0.58661,0.8866,7.3254e-05,7.3254e-05,7.3254e-05
23,147.853,0.54316,0.58148,0.90266,0.83251,0.90774,0.91005,0.80217,0.55535,0.55147,0.88929,5.6028e-05,5.6028e-05,5.6028e-05
24,153.911,0.53501,0.55149,0.89449,0.86957,0.8817,0.91992,0.81332,0.54687,0.53611,0.88645,3.8802e-05,3.8802e-05,3.8802e-05
25,159.92,0.52726,0.54799,0.89389,0.86367,0.89523,0.92117,0.81793,0.53864,0.53174,0.88393,2.1576e-05,2.1576e-05,2.1576e-05
